topic_id,topic_id_url,topic_name,subfield_name,field_name,domain_name,is_digital,daisy_group,ce_core,keywords
T10284,https://openalex.org/T10284,Anaerobic Digestion and Biogas Production,Building and Construction,Engineering,Physical Sciences,0,circular_economy,1,Anaerobic Digestion; Biogas Production; Methanogenic Archaea; Hydrogen Production; Waste-to-Energy; Microbial Community; Bioenergy; Fermentation; Waste Treatment; Renewable Energy
T10264,https://openalex.org/T10264,Asphalt Pavement Performance Evaluation,Civil and Structural Engineering,Engineering,Physical Sciences,0,circular_economy,1,Asphalt; Bitumen Modification; Rheology; Recycled Materials; Polymer Modification; Warm Mix; Rejuvenators; Nanomaterials; Pavement Engineering; Life Cycle Assessment
T12774,https://openalex.org/T12774,Bauxite Residue and Utilization,Mechanical Engineering,Engineering,Physical Sciences,0,circular_economy,1,Bauxite Residue; Red Mud; Utilization; Management; Recovery; Recycling; Environmental; Alkalinity; Rare Earths; Catalytic Applications
T13240,https://openalex.org/T13240,Bioeconomy and Sustainability Development,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,0,circular_economy,1,Bioeconomy; Biomass; Bioenergy; Circular Economy; Sustainability; Policy; Innovation; Transition; Forestry; Agro-industrial Complex
T10171,https://openalex.org/T10171,Biofuel production and bioconversion,Biomedical Engineering,Engineering,Physical Sciences,0,circular_economy,1,Pretreatment; Enzymatic Hydrolysis; Lignocellulosic Biomass; Bioethanol Production; Cellulase Enzymes; Biorefinery Concept; Biomass Recalcitrance; Ethanol Fermentation; Ionic Liquid Pretreatment; Global Bioenergy Potential
T13180,https://openalex.org/T13180,Chemistry and Chemical Engineering,Environmental Chemistry,Environmental Science,Physical Sciences,0,circular_economy,1,Sustainable Chemistry; Solvent Selection; Green Engineering; Metrics; Catalysis; Life Cycle Assessment; Circular Economy; Process Mass Intensity; Medicinal Chemistry; Environmental Impact
T11275,https://openalex.org/T11275,Composting and Vermicomposting Techniques,Soil Science,Agricultural and Biological Sciences,Life Sciences,0,circular_economy,1,Composting; Maturity Assessment; Organic Waste; Microbial Activity; Biochar; Vermicomposting; Aerobic Composting; Humic Acids; Greenhouse Gases Emissions; Sustainability
T10435,https://openalex.org/T10435,Environmental Impact and Sustainability,Environmental Engineering,Environmental Science,Physical Sciences,0,circular_economy,1,Life Cycle Assessment; Environmental Impact; Carbon Footprint; Water Footprint; Embodied Energy; Input-Output Analysis; Decomposition Analysis; Sustainability Assessment; Global Trade; Greenhouse Gas Emissions
T11091,https://openalex.org/T11091,Extraction and Separation Processes,Mechanical Engineering,Engineering,Physical Sciences,0,circular_economy,1,Battery Recycling; Lithium-ion Batteries; Rare Earth Elements; Metal Recovery; Sustainable Technology; Environmental Impact; Hydrometallurgical Processes; Circular Economy; Resource Depletion; Global Supply
T12118,https://openalex.org/T12118,Forest Biomass Utilization and Management,Mechanics of Materials,Engineering,Physical Sciences,0,circular_economy,1,Biomass; Supply Chain; Logistics; Bioenergy; Optimization; Sustainability; Life Cycle Assessment; Uncertainty; Multiobjective; GIS
T12920,https://openalex.org/T12920,Healthcare and Environmental Waste Management,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,0,circular_economy,1,COVID-19; medical waste; solid waste management; hospital waste; waste disposal; pandemic; healthcare waste; waste generation; disinfection technology; hazardous waste
T13045,https://openalex.org/T13045,Industrial Engineering and Technologies,Mechanical Engineering,Engineering,Physical Sciences,0,circular_economy,1,Digital Economy; Sustainable Development; Energy Efficiency; Carbon Sequestration; Hydrogen Initiatives; Lithium-Ion Batteries; Renewable Energy; Resource Efficiency; Circular Economy; Technological Innovation
T14138,https://openalex.org/T14138,Life Cycle Costing Analysis,Accounting,"Business, Management and Accounting",Social Sciences,0,circular_economy,1,Life Cycle Costing; Total Cost of Ownership; Building Industry; Infrastructure Design; Sustainable Development; Asset Management; Whole Life Cost; Cost Analysis; Energy Efficiency; Construction Industry
T14164,https://openalex.org/T14164,Marine and Offshore Engineering Studies,Ocean Engineering,Engineering,Physical Sciences,0,circular_economy,1,Ship Recycling; Offshore Decommissioning; Environmental Impact; Marine Pollution; Regulations; Bangladesh; India; Oil and Gas Industry; Sustainability; Economic Analysis
T13140,https://openalex.org/T13140,Materials Engineering and Processing,Mechanical Engineering,Engineering,Physical Sciences,0,circular_economy,1,Foundry Waste; Recycling; Concrete Properties; Waste Utilization; Mechanical Characteristics; Environmental Assessment; Controlled Low-Strength Material; Aggregate Substitution; Industrial By-Products; Sustainable Construction
T10753,https://openalex.org/T10753,Microplastics and Plastic Pollution,Pollution,Environmental Science,Physical Sciences,0,circular_economy,1,Microplastics; Marine Environment; Terrestrial Ecosystems; Pollution; Plastic Debris; Environmental Impact; Waste Management; Human Health; Freshwater Systems; Recycling
